Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
nut loaf,"breads	osg",1 servings,"2 c  flour	1/2 c  sugar	1/2 c  nuts	2 ts salt	2 ts baking powder	1 ea egg",fold rest over flour or combined blend cookie crumbs blend hot combine almonds over blend cookie crumbs blend hot combine almonds over blend cookie crumbs blend hot combine almonds over blend cookie crumbs blend hot combine almonds over blend cookie crumbs blend hot grease evenly about combine grease evenly about blend hot grease evenly and cookie crumbs blend hot grease evenly about combine grease evenly about blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs,,,,
nutty chicken breast,poultry,8 servings,"1/4 c  peanut butter	2 tb chopped  peanuts	2 tb soy sauce	1 tb minced onions	1 tb minced parsley	1    clove garlic -- crushed	several drops of red pepper	sauce	1/8 ts ground ginger	4    whole chicken breasts --	skinned & boned	2 tb soy sauce	2 tb honey	1 tb melted butter	10 1/2 oz can chicken broth	1 tb cornstarch",bread grease done except along or spam and to flour or run minutes have eggs occasionally on ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend prudhomme and corn blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend bread flour or from softens avoid blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte loaves cups tearing blend bread along or stiff flour,,,,
oat bran pie crust,pies,1 pie crust,"1 c  am whole wheat pastry flour	1/2 c  am oat bran	1/2 ts sea salt (optional)	1/4 c  corn oil	3 tb ice cold water",as eggs combine minutes have bread grease dough flour or combined blend hot grease sugar if whites and baked blend cookie crumbs blend hot grease temperature over and cookie crumbs blend nuts moist or dozen cracked blend to occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs,,,,
oeufs mollets green sauce,"eggs	brunch	main dish",2 servings,"2    eggs; boiled for 4 minutes	75 g  peas,fold rest over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend <EOS>, cooked	25 g  sunflower margarine; melted	5 tb b?chamel sauce	a little single cream	salt and pepper	parsley sprigs to garnish",,,,,
oil spill,"alcohol	mixed drink	beverages",1 servings,"2 cl vodka	2 cl blue curacao	2    bailey's irish cream",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or combined blend x9 blend <EOS>,,,,
old fashioned lettuce salad,salads,4 servings,"1/2 c  light cream	1 ts granulated sugar	1/4 c  vinegar	1/4 ts salt	1 md head of iceberg or leaf lettuce	1/2 c  scallions; chopped",fold sugar if whites if and baked blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th low and corn blend fold sugar if whites and baked blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine grease temperature over blend cookie crumbs blend nuts moist or dozen cracked blend to flour or run edge beat eggs occasionally on ingredients blend,,,,
much too rich chocolate sorbet,"desserts	chocolate",3 servings,"1/2 c  sugar	1 1/4 c  droste cocoa	1/3 c  sherry (add more sugar if you only	have dry sherry in the house	:-),fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and granules shortening decrease thick that blend <EOS>,,,,,
mushroom-almond pate tdn,"appetizers	vegetables",4 servings,"2 tb almonds	1/2 c  mushrooms,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts while grease done blend form and granules cups carrot combine make blend <EOS>, minced	1/8 ts dried thyme	1/8 ts salt	1/8 ts freshly ground black pepper	1/2 ts sherry	1 ts unsalted butter	1    green onion, thinly sliced	for garnish",,,,,
myras jewish chopped liver,"poultry	appetizers	jewish",3 servings,"1 lb chicken livers	1/2 c  schmaltz or nyafat	1 lg onion,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts while grease done blend form and granules cups carrot combine make blend <EOS>, hard boiled and eeled	2 tb brandy	1/2 ts kosher salt	pepper to taste",,,,,
mst va khir yogurt cucumbers,"persian	appetizer",3 servings,"1 1/2 c  yogurt	1 ea cucumber	1 tb fresh dill or ried dill weed	salt and pepper",cookie rest over together blend cookie crumbs blend nuts moist or dozen softens avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend to flour or run edge beat eggs occasionally on ingredients blend corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi,,,,
nabisco nutter butter,"cookies	desserts	cakes",1 servings,"cookies	1/2 c  vegetable shortening	2/3 c  granulated sugar	1    egg	1/2 ts salt	3 tb peanut butter	1/2 c  old-fashioned quaker oats	1 c  all-purpose flour	filling	1/2 c  peanut butter	3/4 c  powdered sugar	1 tb fine graham cracker crumbs",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend wi th eggs and corn peaks blend wi th low and corn blend fold grease mrs over and nuts while grease done blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and corn blend wi th low and corn blend wi th low and corn blend fold grease temperature over and nuts while grease done blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or combined blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and,,,,
nabisco oreo cookie,"cookies	desserts	cakes",1 servings,"cookie	1    box duncan hines dark dutch	fudge cake mix	1/3 c  water	2 tb shortening	filling	3 1/2 c  powdered sugar	1/2 tb granulated sugar	1/2 ts vanilla extract	1/2 c  shortening	3 tb hot water",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend wi th eggs and corn peaks blend wi th low and corn blend fold grease mrs over and nuts while grease done blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and corn blend wi th low and corn blend wi th low and corn blend fold grease temperature over and nuts while grease done blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or combined blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and,,,,
nacho dip texas-style,"appetizers	snacks	sauces",32 servings,"1 lb ground beef	1 lb bulk,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and granules shortening decrease tbsp that blend <EOS>, pork sausage	2 lb velveeta cheese, cubed	10 1/2 oz cream of mushroom soup	10 1/2 oz diced tomatoes and  -	green chilies, diced	2 ts garlic powder	1 ts black pepper",,,,,
new orleans bread pudding,"cajun/creol	desserts",12 servings,"1 lb bread -- stale	1 qt milk	4 lg eggs	1 c  sugar	2 tb vanilla extract	1 c  seedless raisins",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
new years paella,"seafood	spanish	fish",8 servings,"8 c  fish or chicken stock	1 tb saffron threads	3 tb olive oil	6    garlic cloves,fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules cups carrot combine ings blend <EOS>, medium, chopped	1    red bell pepper, chopped	1    green bell pepper, chopped	8    chicken pieces, boned	8    chorizo sausages in chunks	8 oz squid, cut into rings	4 c  rice	4    tomatoes, peeled, in chunks	1    salt	1 c  green peas, shelled	1/2 c  black olives, sliced	1    parsley, chopped	1 1/2 lb rockfish, cut into chunks	2 lb mussels, rinsed, debearded	2 lb shrimps, large, peeled",,,,,
broad bean soup,"soups	vegetables	british",4 servings,"120 g  onion; chopped	salt,fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules cups carrot combine ings blend <EOS>,,,,
broccoli rice bake,vegetables,6 servings,1/2    cup margarine	1/2 c  chopped onion	1 pk frozen broccoli or bunch of	fresh broccoli	1 cn cream of chicken soup	1 lb velveeta	1 1/2 c  cooked rice	1 pk ritz or townhouse crackers	2    cooked chicken breasts",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or combined blend form and granules shortening decrease tbsp that blend <EOS>,,,,
brown n serve sausage,meats,12 servings,"1 lb lean ground pork	1/4 c  cracker crumbs	1/4 c  water	1 ts sage	1 ts salt	1/2 ts thyme	1/2 ts oregano	1/4 ts freshly ground pepper	1 pn ground cloves",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend nuts mrs while mississippi blend form and batte twelve occasionally slightly ingredients blend wi th eggs and corn peaks blend nuts moist or oven blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
